calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Carlos Salazar Herrera;Carlos Salazar Herrera;Carlos;Salazar;-2;Male;
Calle Rafael Cardona;Rafael Cardona;Rafael;Cardona;-2;Male;
Calle Max Jiménez;Max Jiménez;Max;Jiménez;-2;Male;
Calle Luis Felipe González;Luis Felipe González;Luis;Felipe;-2;Male;
Calle Edgar Ardón;Edgar Ardón;Edgar;Ardón;-2;Male;
Rotonda Luis Cruz Mesa;Luis Cruz Mesa;Luis;Cruz;-2;Male;
Calle Juan Félix Acuña;Juan Félix Acuña;Juan;Félix;-2;Male;
Calle Marín Muñoz;Marín Muñoz;Marín;Muñoz;-2;Male;
Calle Crisóstomo Porras;Crisóstomo Porras;Crisóstomo;Porras;-2;Male;
Cabinas Antonio;Cabinas Antonio;Cabinas;Antonio;-2;Male;
Calle Tobías;Tobías;Tobías;;-2;Male;
Calle Remy;Remy;Remy;;-2;Male;
Calle San Carlos de Río Balsar;Calle San Carlos  Balsar;Calle;San;-2;Male;
Calle Jenaro Bonilla;Jenaro Bonilla;Jenaro;Bonilla;-2;Male;
Calle Mariano Cortés;Mariano Cortés;Mariano;Cortés;-2;Male;
Avenida Jenaro Bonilla A.;Jenaro Bonilla A.;Jenaro;Bonilla;-2;Male;
Calle Agripino Aguilar;Agripino Aguilar;Agripino;Aguilar;-2;Male;
Calle Abelino;Abelino;Abelino;;-2;Male;
Avenida Juan Ramón Bonilla Aguilar;Juan Ramón Bonilla Aguilar;Juan;Ramón;-2;Male;
Avenida Elías Bonilla Aguilar;Elías Bonilla Aguilar;Elías;Bonilla;-2;Male;
Calle Fray Dionisio de Llorens;Fray Dionisio Llorens;Fray;Dionisio;-2;Male;
Res San Remo;Res San Remo;Res;San;-2;Male;
Calle Baudilio Fernández;Baudilio Fernández;Baudilio;Fernández;-2;Male;
Calle Rafael Bonilla;Rafael Bonilla;Rafael;Bonilla;-2;Male;
Calle Carlos David;Carlos David;Carlos;David;-2;Male;
Calle Ramiro;Ramiro;Ramiro;;-2;Male;
Calle Antonio Arias;Antonio Arias;Antonio;Arias;-2;Male;
Calle Miguel Mesén;Miguel Mesén;Miguel;Mesén;-2;Male;
Calle Santo Domingo;Santo Domingo;Santo;Domingo;-2;Male;
Calle León Rojas;León Rojas;León;Rojas;-2;Male;
Calle Mario Martínez;Mario Martínez;Mario;Martínez;-2;Male;
Calle Jesús Fernández;Jesús Fernández;Jesús;Fernández;-2;Male;
Calle El Carmen;El Carmen;El;Carmen;2;Female;
Calle Victoria;Victoria;Victoria;;2;Female;
Calle Leonidas Quesada;Leonidas Quesada;Leonidas;Quesada;-2;Male;
Calle María Mejías;María Mejías;María;Mejías;2;Female;
Calle María Eugenia;María Eugenia;María;Eugenia;2;Female;
Calle Concepción;Concepción;Concepción;;2;Female;
Calle Damaris;Damaris;Damaris;;2;Female;
Calle La Luisa;La Luisa;La;Luisa;2;Female;
Calle La Eva;La Eva;La;Eva;2;Female;
Calle Isela;Isela;Isela;;2;Female;
Calle Alicia;Alicia;Alicia;;2;Female;
Calle Rosalía;Rosalía;Rosalía;;2;Female;
Calle Milagro;Milagro;Milagro;;2;Female;
Calle Santa Lucia;Santa Lucia;Santa;Lucia;2;Female;
Calle Emérita Araya;Emérita Araya;Emérita;Araya;2;Female;https://es.wikipedia.org/wiki/Am%C3%A9rica_Arias
Calle La Hilda;La Hilda;La;Hilda;2;Female;
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;https://es.wikipedia.org/wiki/Ana_B%C3%A1rbara
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;
Calle Nazareth;Nazareth;Nazareth;;2;Female;
Calle Rosa Blanca;Rosa Blanca;Rosa;Blanca;2;Female;
Calle María Ramos;María Ramos;María;Ramos;2;Female;
Calle La Catalina;La Catalina;La;Catalina;2;Female;
Calle La Paula;La Paula;La;Paula;2;Female;
Calle Constancia;Constancia;Constancia;;2;Female;
Calle Mimi;Mimi;Mimi;;2;Female;
Calle Matilda;Matilda;Matilda;;2;Female;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;
Calle Mercedes;Mercedes;Mercedes;;2;Female;
Avenida Minerva;Minerva;Minerva;;2;Female;
Calle Guadalupe;Guadalupe;Guadalupe;;2;Female;
Calle Mónica;Mónica;Mónica;;2;Female;
Calle María Elena;María Elena;María;Elena;2;Female;
Calle Santa Fe;Santa Fe;Santa;Fe;2;Female;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;
Calle La Eli;La Eli;La;Eli;2;Female;
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;
Avenida Lilian;Lilian;Lilian;;2;Female;
Calle Mayra;Mayra;Mayra;;2;Female;
Avenida Bertilia;Bertilia;Bertilia;;2;Female;
Calle Sonia;Sonia;Sonia;;2;Female;
Avenida El Carmen;El Carmen;El;Carmen;2;Female;
Calle Florencia;Florencia;Florencia;;2;Female;
Calle Julieta;Julieta;Julieta;;2;Female;
Avenida Rosario;Rosario;Rosario;;2;Female;
Calle María Isabel;María Isabel;María;Isabel;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle Sophia;Sophia;Sophia;;2;Female;
